text,fallacy_type,taxonomy_group,clean_text
"The uncommunicative strangers seemed unwilling to speak to us, hiding behind the language barrier.",appeal to emotion,Relevance Fallacy,uncommunicative stranger seemed unwilling speak u hiding behind language barrier
"The lady in the pink dress is Julia Roberts.
The reporter thinks Julia Roberts drives a Prius.
Therefore, the reporter thinks the lady in the pink dress drives a Prius.",fallacy of logic,Clarity Fallacy,lady pink dress julia robert reporter think julia robert drive prius therefore reporter think lady pink dress drive prius
"Everybody understands that the values in New York City are socially liberal and pro-abortion and pro-gay marriage,' he said. 'And focus on money and the media.",faulty generalization,Presumption Fallacy,everybody understands value new york city socially liberal proabortion progay marriage said focus money medium
"By rejecting God, you are rejecting goodness, kindness, and love itself.",appeal to emotion,Relevance Fallacy,rejecting god rejecting goodness kindness love
news organizations are Fake News?,faulty generalization,Presumption Fallacy,news organization fake news
Not able to defend his position that evolution 'isn't true' Bob says that he knows a scientist who also questions evolution (and presumably isn't a primate).,fallacy of credibility,Relevance Fallacy,able defend position evolution isnt true bob say know scientist also question evolution presumably isnt primate
"Q: Did the President have an affair?
A: ""He's very busy at the moment with the Middle East Peace talks, and has no time for
 silly accusations."" ",fallacy of relevance,Relevance Fallacy,q president affair he busy moment middle east peace talk time silly accusation
"My parents are vegetarians, and they are good people. Therefore, all vegetarians must be good people.",faulty generalization,Presumption Fallacy,parent vegetarian good people therefore vegetarian must good people
present ideas that elicit strong feelings,appeal to emotion,Relevance Fallacy,present idea elicit strong feeling
"So many people are speaking up about animal rights, but what they should first focus on is human rights.",fallacy of relevance,Relevance Fallacy,many people speaking animal right first focus human right
You can't give me a C. I'm an A student.,circular reasoning,Presumption Fallacy,cant give c im student
You say that Coach Smith pressured teachers to give his students passing grades. But don’t you agree that athletics are important to schools? Don’t they build character?,fallacy of relevance,Relevance Fallacy,say coach smith pressured teacher give student passing grade dont agree athletics important school dont build character
"Nuclear disarmament is a risk, but everything in life involves a risk. Every time you drive in a car you are taking a risk. If you're willing to drive in a car, you should be willing to have disarmament.",fallacy of logic,Clarity Fallacy,nuclear disarmament risk everything life involves risk every time drive car taking risk youre willing drive car willing disarmament
"Peter: ""Based on the arguments I have presented, it is evident that it is morally wrong to use animals for food or clothing.""
Bill: ""But you are wearing a leather jacket and you have a roast beef sandwich in your hand! How can you say that using animals for food and clothing is wrong!""",ad hominem,Relevance Fallacy,peter based argument presented evident morally wrong use animal food clothing bill wearing leather jacket roast beef sandwich hand say using animal food clothing wrong
"This type of propaganda implies that since EVERYONE else is buying a product, so should you!",ad populum,Relevance Fallacy,type propaganda implies since everyone else buying product
"Saying that because one finds something difficult to understand, therefore it's not true",intentional,Clarity Fallacy,saying one find something difficult understand therefore true
"I know nothing about Tank Johnson except that he has a criminal record as long as your leg, but I’ll bet he’s really just misunderstood",intentional,Clarity Fallacy,know nothing tank johnson except criminal record long leg ill bet he really misunderstood
"This is an example of what?
""Attacks the arguer instead of the argument""",ad hominem,Relevance Fallacy,example attack arguer instead argument
Richardson is the most successful mayor the town has ever had because he's the best mayor of our history.,circular reasoning,Presumption Fallacy,richardson successful mayor town ever he best mayor history
"""My roommate said her Debate class was hard, and the one that I'm in right now is hard, too. All Debate classes must be hard!”",faulty generalization,Presumption Fallacy,roommate said debate class hard one im right hard debate class must hard
"""Freedom of choice is an important freedom. Students should have the freedom to choose between different types of soft drinks.""",faulty generalization,Presumption Fallacy,freedom choice important freedom student freedom choose different type soft drink
"I broke my mirror this morning, AND I failed my History test. I must've failed because the mirror gave me bad luck.",false causality,Presumption Fallacy,broke mirror morning failed history test mustve failed mirror gave bad luck
"Everyone is selfish; everyone is doing what he believes will make himself happier. The recognition of that can take most of the sting out of accusations that you're being ""selfish."" Why should you feel guilty for seeking your own happiness when that's what everyone else is doing, too?
What's the logical fallacy?",ad populum,Relevance Fallacy,everyone selfish everyone belief make happier recognition take sting accusation youre selfish feel guilty seeking happiness thats everyone else whats logical fallacy
Leonardo DiCaprio is just a dumb actor! What does he really know about climate change?!,ad hominem,Relevance Fallacy,leonardo dicaprio dumb actor really know climate change
“Live with me or live on the streets”,false dilemma,Presumption Fallacy,live live street
"Despite the fact that our Q4 numbers are much lower than usual, we should push forward using the same strategy because our CEO Barbara says this is the best approach.",fallacy of credibility,Relevance Fallacy,despite fact q number much lower usual push forward using strategy ceo barbara say best approach
"Advocates for a tight virus response say ""we need to limit the spread."" What they're really saying is we need to shut down everything forever, leading to massive economic damage.",fallacy of extension,Clarity Fallacy,advocate tight virus response say need limit spread theyre really saying need shut everything forever leading massive economic damage
Senator Smith says that the nation should not add to the defense budget. Senator Jones says that he cannot believe that Senator Smith wants to leave the nation defenseless.,fallacy of extension,Clarity Fallacy,senator smith say nation add defense budget senator jones say believe senator smith want leave nation defenseless
a movie reviewer who dislikes a Tom Cruise movie because of the actor's religion and tries to impose negative bias in the audience members' minds before they see the film.,ad hominem,Relevance Fallacy,movie reviewer dislike tom cruise movie actor religion try impose negative bias audience member mind see film
"""Politicians and diapers must be changed often, and for the same reason.""",fallacy of logic,Clarity Fallacy,politician diaper must changed often reason
"A teacher tells Billy to stop talking, and he yells back: “Sarah was talking too!”",fallacy of relevance,Relevance Fallacy,teacher tell billy stop talking yell back sarah talking
"Every time we sacrifice virgins, it rains. Therefore, sacrificing virgins causes it to rain.",false causality,Presumption Fallacy,every time sacrifice virgin rain therefore sacrificing virgin cause rain
Nobody else is wearing masks out in public. Why should you?,ad populum,Relevance Fallacy,nobody else wearing mask public
"""Even though it's only the first day, I can tell this is going to be a boring course.""",faulty generalization,Presumption Fallacy,even though first day tell going boring course
If Mr. Stiedemann assigns us homework then I can't work on other assignments in my other classes. Then my teachers will get mad and cause me to get angry. Then my anger will lead to behavioral issues and I'll get suspended.,faulty generalization,Presumption Fallacy,mr stiedemann assigns u homework cant work assignment class teacher get mad cause get angry anger lead behavioral issue ill get suspended
"Al Gore's support of the discussion of sexual orientation issues on Ellen is  dangerous:  he advocates the exposure of children to sexually explicit materials,  which is wrong.",fallacy of extension,Clarity Fallacy,al gore support discussion sexual orientation issue ellen dangerous advocate exposure child sexually explicit material wrong
"Recently, we highlighted a British journalist’s story about the underside of Dubai’s startling ascent. Some in Dubai called foul, including one writer who wants to remind Britons that their own country has a dark side. After all, what to think of a country in which one-fifth of the population lives in poverty?",ad hominem,Relevance Fallacy,recently highlighted british journalist story underside dubai startling ascent dubai called foul including one writer want remind briton country dark side think country onefifth population life poverty
"I am voting for Pepitone for President because the rest of my family is voting for her, and I don't want to be the only one not doing so.",ad populum,Relevance Fallacy,voting pepitone president rest family voting dont want one
"My opponent in this election claims to have the best interests of our community at heart. However, he is separated from his family. Isn’t family the basic unit of society? How can we entrust the concerns of the community to someone who was not able to keep his family together?",ad hominem,Relevance Fallacy,opponent election claim best interest community heart however separated family isnt family basic unit society entrust concern community someone able keep family together
"The first time I went to Six Flags was great, so every time I go there will be great.",faulty generalization,Presumption Fallacy,first time went six flag great every time go great
President Reagan was a great communicator because he had the gift of talking effectively to the people.,circular reasoning,Presumption Fallacy,president reagan great communicator gift talking effectively people
"My roommate said her philosophy class was difficult, and the one I’m in is difficult, too. All philosophy classes must be hard.",faulty generalization,Presumption Fallacy,roommate said philosophy class difficult one im difficult philosophy class must hard
"I thought you were a good person, but you weren’t in class today.",false dilemma,Presumption Fallacy,thought good person werent class today
America has to act now to reduce illegal immigration. Recent studies show that the vast majority of Americans think that illegal immigration is a problem.,ad populum,Relevance Fallacy,america act reduce illegal immigration recent study show vast majority american think illegal immigration problem
"America keeps telling China to be more respecting of journalism, but why don't they stop the American propaganda first?",ad hominem,Relevance Fallacy,america keep telling china respecting journalism dont stop american propaganda first
Forty million people won't be wrong. Please buy the latest iPhone 12.,ad populum,Relevance Fallacy,forty million people wont wrong please buy latest iphone
The speaker insinuates that there are only two options despite this not being true.,false dilemma,Presumption Fallacy,speaker insinuates two option despite true
I can tell this movie is going to be terrible; the opening credits aren't even over yet!,faulty generalization,Presumption Fallacy,tell movie going terrible opening credit arent even yet
"If you had school pride like the rest of us do, you would wear a mountain lion costume every day.",ad populum,Relevance Fallacy,school pride like rest u would wear mountain lion costume every day
"My new method of conducting meta-analyses is the most valid there is because it is the only one capable of such validity, the only one that has ever approached such validity, and the only one that is so completely valid.",circular reasoning,Presumption Fallacy,new method conducting metaanalyses valid one capable validity one ever approached validity one completely valid
"My first day of basketball practice was easy, so it will always be easy.",faulty generalization,Presumption Fallacy,first day basketball practice easy always easy
"In our psychology department, half of the faculty believe that a behavioral approach is the only valid approach; the other half believe that the only valid approach is psychodynamic. Obviously the most valid approach must be one that incorporates both behavioral and psychodynamic elements.",fallacy of relevance,Relevance Fallacy,psychology department half faculty believe behavioral approach valid approach half believe valid approach psychodynamic obviously valid approach must one incorporates behavioral psychodynamic element
"My teacher says the Earth is flat, so it definitely is flat.",ad hominem,Relevance Fallacy,teacher say earth flat definitely flat
"Roommate A: We need to talk about your dog. He keeps peeing everywhere and making a mess.
Roommate B: It's not as big of a problem as your cat. The thing sheds all over my clothes!
The above is an example of",fallacy of relevance,Relevance Fallacy,roommate need talk dog keep peeing everywhere making mess roommate b big problem cat thing shed clothes example
"Preys on people’s emotions and sensitivities, can turn into a slippery slope",appeal to emotion,Relevance Fallacy,prey people emotion sensitivity turn slippery slope
"The temperature has dropped this morning, and I also have a headache. The cold weather must be causing my headache.",false causality,Presumption Fallacy,temperature dropped morning also headache cold weather must causing headache
"To justify support for a position by citing an esteemed or well-known figure who supports it.

Para justificar el apoyo a una posición citando a una figura estimada o conocida que lo apoya.",fallacy of credibility,Relevance Fallacy,justify support position citing esteemed wellknown figure support para justificar el apoyo una posicin citando una figura estimada conocida que lo apoya
"If the state can require car seats for small children and infants, they can just as easily require mothers to breast-feed instead of using formula.",fallacy of logic,Clarity Fallacy,state require car seat small child infant easily require mother breastfeed instead using formula
"Cassie has no school spirit—she never comes to any of our football games.
guilt by association: a negative association intended to discredit someone or something",false dilemma,Presumption Fallacy,cassie school spiritshe never come football game guilt association negative association intended discredit someone something
"""Standardized dress should be used in schools because kids should wear standardized dress.""",circular reasoning,Presumption Fallacy,standardized dress used school kid wear standardized dress
"Because cases spiked rapidly in New York City back in March, it justified us closing down the whole country.",faulty generalization,Presumption Fallacy,case spiked rapidly new york city back march justified u closing whole country
"Good people don't lie. You told a lie. Therefore, you are not a good person.",fallacy of logic,Clarity Fallacy,good people dont lie told lie therefore good person
Has your clinic stopped those unethical practices yet?,intentional,Clarity Fallacy,clinic stopped unethical practice yet
"""Advocates of legalized abortion predicted it would solve our social problems. Instead, this destruction of one-fourth of a generation has left a more violent society in its wake: Child abuse has exploded, from 167,000 estimated cases in 1973 to 2.4 million in 1989, according to the National Center of Child Abuse and Neglect - a 1,400% increase. Teen suicide, among non-aborted and thus presumably ""wanted"" children, has doubled. Violent crime has more than doubled.""",fallacy of extension,Clarity Fallacy,advocate legalized abortion predicted would solve social problem instead destruction onefourth generation left violent society wake child abuse exploded estimated case million according national center child abuse neglect increase teen suicide among nonaborted thus presumably wanted child doubled violent crime doubled
"Hi, I’m Troy McClure. You might remember me from such films as The Day the Peacock Died. After filming scenes with feathered co-stars all day, there’s nothing I enjoy more than a bucket of Buster’s Chicken. It’s chickentastic!",fallacy of credibility,Relevance Fallacy,hi im troy mcclure might remember film day peacock died filming scene feathered costars day there nothing enjoy bucket buster chicken chickentastic
"Jimmy stole Tommy’s lunch in the past.

Therefore, it is acceptable for Tommy to steal Jimmy’s lunch today.

",fallacy of relevance,Relevance Fallacy,jimmy stole tommys lunch past therefore acceptable tommy steal jimmy lunch today
"Dr. Simmons: I am working on a way to lengthen the human lifespan to about 200 years.
Misty: You are declaring war on Mother Nature, and Mother Nature always wins!",equivocation,Clarity Fallacy,dr simmons working way lengthen human lifespan year misty declaring war mother nature mother nature always win
"You never even finished law school, so why should I trust you to watch my children?",ad hominem,Relevance Fallacy,never even finished law school trust watch child
A news story that reported that Captain Shah was under investigation was shared widely on social media. He must have been the individual who caused the crash.,ad populum,Relevance Fallacy,news story reported captain shah investigation shared widely social medium must individual caused crash
"""If my hair looks nice, people will love me.""",fallacy of logic,Clarity Fallacy,hair look nice people love
"Since it was a deathbed confession, it must be true.",ad hominem,Relevance Fallacy,since deathbed confession must true
"I don't know about you, but I would never take the word of a woman who never finished school.",ad hominem,Relevance Fallacy,dont know would never take word woman never finished school
"If we use just one more can of hairspray this month, earth as we know it will no longer exist.",faulty generalization,Presumption Fallacy,use one hairspray month earth know longer exist
"If there is objective morality, then good moral behavior will be rewarded after death.  I want to be rewarded; therefore, morality must be objective.",appeal to emotion,Relevance Fallacy,objective morality good moral behavior rewarded death want rewarded therefore morality must objective
"The ideas from that member of the club are wrong, but he isn’t actually a true member of the club so his ideas do not matter.",intentional,Clarity Fallacy,idea member club wrong isnt actually true member club idea matter
"""I know the exam is graded based on performance, but you should give me an A. My cat has been sick, my car broke down, and I've had a cold, so it was really hard for me to study!""",appeal to emotion,Relevance Fallacy,know exam graded based performance give cat sick car broke ive cold really hard study
"Religion may have been wrong about a few things, but science has been wrong about many more things!",faulty generalization,Presumption Fallacy,religion may wrong thing science wrong many thing
"""Let's look instead at what my opponent proposes to do with your hard earned money!""
This is an example of which type of logical fallacy?",fallacy of relevance,Relevance Fallacy,let look instead opponent proposes hard earned money example type logical fallacy
"To my knowledge, there are no studies supporting this approach. Therefore, I see no reason to change our routine.",intentional,Clarity Fallacy,knowledge study supporting approach therefore see reason change routine
"Billy - ""Spanish is easy."" Bobby - ""Don't listen to Billy; he failed Spanish class last year. """,ad hominem,Relevance Fallacy,billy spanish easy bobby dont listen billy failed spanish class last year
All dogs go to heaven.,faulty generalization,Presumption Fallacy,dog go heaven
"Becky: I think capital punishment is a necessary component of our justice system and should remain legal.
Alex: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.

Of what fallacy is Alex guilty?",fallacy of extension,Clarity Fallacy,becky think capital punishment necessary component justice system remain legal alex saying murder legal okay u go around killing people think deserve isnt right fallacy alex guilty
"If Joe robbed a bank then he has a million dollars. Joe has a million dollars, so Joe robbed a bank.",fallacy of logic,Clarity Fallacy,joe robbed bank million dollar joe million dollar joe robbed bank
"James' mom is concerned when she finds out that he skipped class one day. She tells him that she is concerned that since he skipped one class, he will start skipping more frequently. Then he will drop out altogether, never graduate or get into college, and end up unemployed and living at home for the rest of his life. What type of fallacy has James' mom committed?",faulty generalization,Presumption Fallacy,james mom concerned find skipped class one day tell concerned since skipped one class start skipping frequently drop altogether never graduate get college end unemployed living home rest life type fallacy james mom committed
"""You can never give anyone a break. If you do, they'll walk all over you.""",faulty generalization,Presumption Fallacy,never give anyone break theyll walk
"If we allow students to have cell phones, it will lead to chaos in the classroom.  If we have chaos in the classroom, the students will fail to learn.  If they fail to learn, their lives will be ruined forever!",faulty generalization,Presumption Fallacy,allow student cell phone lead chaos classroom chaos classroom student fail learn fail learn life ruined forever
"Noisy children are a real headache. Two aspirin will make a headache go away. Therefore, two aspirin will make noisy children go away.",equivocation,Clarity Fallacy,noisy child real headache two aspirin make headache go away therefore two aspirin make noisy child go away
"It’s true that this company hasn’t given raises in the last 5 years, but we work really hard to ensure that we have a quality product and good customer service.",fallacy of relevance,Relevance Fallacy,true company hasnt given raise last year work really hard ensure quality product good customer service
"""Finish your dinner. There are starving children in Africa."" is an example of",fallacy of relevance,Relevance Fallacy,finish dinner starving child africa example
"You say that we have exaggerated the problem with global warming, but have you even considered how much more the homeless suffer when temperatures soar?",fallacy of relevance,Relevance Fallacy,say exaggerated problem global warming even considered much homeless suffer temperature soar
"My opponent raises a good point, but can we really trust him? I mean he moved to this town only two years ago and everyone knows that his wife left him.",ad hominem,Relevance Fallacy,opponent raise good point really trust mean moved town two year ago everyone know wife left
"MeowMeowTweet is American-made skincare. I used it, and it gave me zits. American-made skincare gives people acne.",faulty generalization,Presumption Fallacy,meowmeowtweet americanmade skincare used gave zit americanmade skincare give people acne
"Marie notices that many of her friends have started eating a low-carb diet and drinking protein shakes. Marie decides that this must be the healthy way to eat, so she joins them.",ad populum,Relevance Fallacy,marie notice many friend started eating lowcarb diet drinking protein shake marie decides must healthy way eat join
"My first time walking the dog went terribly, so my dog is a terrible one.",faulty generalization,Presumption Fallacy,first time walking dog went terribly dog terrible one
It must be acknowledged that [whatever psychological test battery I use] is the only legitimate test battery.,circular reasoning,Presumption Fallacy,must acknowledged whatever psychological test battery use legitimate test battery
"""If a black cat crosses your path you will have bad luck.""",false causality,Presumption Fallacy,black cat cross path bad luck
"""She is the best candidate for president because she is better than the other candidates!""",circular reasoning,Presumption Fallacy,best candidate president better candidate
Trans fats are as bad as biological weapons.,fallacy of relevance,Relevance Fallacy,trans fat bad biological weapon
"Only a mentally ill person would kill someone, so anyone who kills someone is automatically mentally ill.",circular reasoning,Presumption Fallacy,mentally ill person would kill someone anyone kill someone automatically mentally ill
"I thought you cared about other people, but I didn't see you at the fundraiser for the Children's Hospital ...",false dilemma,Presumption Fallacy,thought cared people didnt see fundraiser childrens hospital
"Power lines cause cancer.  I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.”",appeal to emotion,Relevance Fallacy,power line cause cancer met little boy cancer lived mile power line looked eye said weak voice please whatever kid wont go going
"You smoke pot? If you keep doing that, you’ll be a heroin addict within two years.",faulty generalization,Presumption Fallacy,smoke pot keep youll heroin addict within two year
Saying that men don't ever ask for directions,faulty generalization,Presumption Fallacy,saying men dont ever ask direction
Just give me a chance to prove it to you. I can’t live this life if you will leave me. My world will stop to turn around. I will not be able to eat nor drink.,appeal to emotion,Relevance Fallacy,give chance prove cant live life leave world stop turn around able eat drink
"All cats are animals.
Some pets are cats.
Therefore, some pets are not animals.",fallacy of logic,Clarity Fallacy,cat animal pet cat therefore pet animal
"I am going into surgery tomorrow so please pray for me.  If enough people pray for me, God will protect me from harm and see to it that I have a successful surgery and speedy recovery.",appeal to emotion,Relevance Fallacy,going surgery tomorrow please pray enough people pray god protect harm see successful surgery speedy recovery
"Water fluoridation affects the brain. Citywide, student’s test scores began to drop five months after fluoridation began. The water fluoridation must have caused the student's test scores to drop.",false causality,Presumption Fallacy,water fluoridation affect brain citywide student test score began drop five month fluoridation began water fluoridation must caused student test score drop
"Billy - ""An apple is a vegetable.""  
Bobby - ""Don't listen to Billy; he failed Spanish class last year. """,ad hominem,Relevance Fallacy,billy apple vegetable bobby dont listen billy failed spanish class last year
"""I believe that PNoy is the Abraham Lincoln of the Philippines.""",fallacy of logic,Clarity Fallacy,believe pnoy abraham lincoln philippine
What’s the point of living?  We’re all going to die anyway.,intentional,Clarity Fallacy,whats point living going die anyway
Covid-19 is like 10 people doing arts and crafts together and one of them is working with glitter. How many art projects in the group get glitter on them?,fallacy of logic,Clarity Fallacy,covid like people art craft together one working glitter many art project group get glitter
"""Andrea Dworkin has written several books arguing that the media harms women when it comes to body image. But Dworkin is an ugly, bitter person, so you shouldn't listen to her.""",ad hominem,Relevance Fallacy,andrea dworkin written several book arguing medium harm woman come body image dworkin ugly bitter person shouldnt listen
"You must obey the law, because it’s illegal to break the law.",circular reasoning,Presumption Fallacy,must obey law illegal break law
"I've only read a couple pages of this book, and I've already found a typo. There's no way I'm reading the rest of this garbage.",faulty generalization,Presumption Fallacy,ive read couple page book ive already found typo there way im reading rest garbage
"She asserts that we need more military spending, but that is false, since she is only saying it because she is a Republican.",ad hominem,Relevance Fallacy,asserts need military spending false since saying republican
"The book Investing for Dummies really helped me understand my finances better. The book Chess for Dummies was written by the same author, was published by the same press, and costs about the same amount, so it would probably help me understand my finances as well.",fallacy of logic,Clarity Fallacy,book investing dummy really helped understand finance better book chess dummy written author published press cost amount would probably help understand finance well
Do you support freedom and the right to bear arms ?,intentional,Clarity Fallacy,support freedom right bear arm
"Without this additional insurance, you could find yourself broke and homeless.",appeal to emotion,Relevance Fallacy,without additional insurance could find broke homeless
"Bill and Jill are arguing about cleaning out their closets: 
Jill: ""We should clean out the closets. They are getting a bit messy."" 
Bill: ""Why, we just went through those closets last year. Do we have to clean them out everyday?"" 
Jill: ""I never said anything about cleaning them out every day. You just want too keep all your junk forever, which is just ridiculous.""",fallacy of extension,Clarity Fallacy,bill jill arguing cleaning closet jill clean closet getting bit messy bill went closet last year clean everyday jill never said anything cleaning every day want keep junk forever ridiculous
"""I will end this war in Iraq responsibly, and finish the fight against al Qaeda and the Taliban in Afghanistan. I will rebuild our military to meet future conflicts. But I will also renew the tough, direct diplomacy that can prevent Iran from obtaining nuclear weapons and curb Russian aggression. I will build new partnerships to defeat the threats of the 21st century: terrorism and nuclear proliferation; poverty and genocide; climate change and disease. And I will restore our moral standing, so that America is once again that last, best hope for all who are called to the cause of freedom, who long for lives of peace, and who yearn for a better future.""  Which appeal is the primary appeal used in this quote?",fallacy of credibility,Relevance Fallacy,end war iraq responsibly finish fight al qaeda taliban afghanistan rebuild military meet future conflict also renew tough direct diplomacy prevent iran obtaining nuclear weapon curb russian aggression build new partnership defeat threat st century terrorism nuclear proliferation poverty genocide climate change disease restore moral standing america last best hope called cause freedom long life peace yearn better future appeal primary appeal used quote
Senator Lewis says we should not fund the missile attack program. I disagree. I don't know why she wants to leave us defenseless like that.,fallacy of extension,Clarity Fallacy,senator lewis say fund missile attack program disagree dont know want leave u defenseless like
He can't be a great athlete; he didn't adopt the stray dog on the street.,ad hominem,Relevance Fallacy,cant great athlete didnt adopt stray dog street
Kevin's grandparents do not know how to use a computer. Kevin thinks that all older people must be computer illiterate.,faulty generalization,Presumption Fallacy,kevins grandparent know use computer kevin think older people must computer illiterate
"I'm not surprised, frankly, that someone who gets lost in his own neighborhood would argue that New York has better pizza than Chicago.",ad hominem,Relevance Fallacy,im surprised frankly someone get lost neighborhood would argue new york better pizza chicago
"The number of off-leash dogs I've seen in Livingston is completely unacceptable. Let's make our streets safe again by addressing this dog problem, before our city becomes a haven for criminals.",fallacy of relevance,Relevance Fallacy,number offleash dog ive seen livingston completely unacceptable let make street safe addressing dog problem city becomes criminal
"The reason everyone wants the new ""Slap Me Silly Elmo"" doll is because this is the hottest toy of the season!",circular reasoning,Presumption Fallacy,reason everyone want new slap silly elmo doll hottest toy season
"An increasing number of people are keeping ferrets as pets, so they must make wonderful companion animals.",ad populum,Relevance Fallacy,increasing number people keeping ferret pet must make wonderful companion animal
"Miller Lite is cheap beer, so the Guinness will be cheap, too",faulty generalization,Presumption Fallacy,miller lite cheap beer guinness cheap
"His house is about half the size of most houses in the neighborhood. Therefore, his doors must all be about 3 1/2 feet high.",faulty generalization,Presumption Fallacy,house half size house neighborhood therefore door must foot high
"Ten years ago I got a 170 on the LSAT, so I expect to get the same score again.",faulty generalization,Presumption Fallacy,ten year ago got lsat expect get score
My opponent is a card-carrying member of the K.K.K.,faulty generalization,Presumption Fallacy,opponent cardcarrying member kkk
1. “Michael Jordan wore his UNC shorts during every game he played in the NBA and he won 6 championships.”,false causality,Presumption Fallacy,michael jordan wore unc short every game played nba championship
"The shopping is a red herring, since the original issue was
video games. 
",fallacy of relevance,Relevance Fallacy,shopping red herring since original issue video game
"Bert: I've been learning about the Second World War lately. I found that America provoked Japan into attacking Pearl Harbor. I don't think that was the right thing to do.
Jenny: Oh, so you are now taking the side of Axis? Do you think Germany and Japan were right to do what they did?",fallacy of extension,Clarity Fallacy,bert ive learning second world war lately found america provoked japan attacking pearl harbor dont think right thing jenny oh taking side axis think germany japan right
"I would have done my homework, but my refrigerator stopped working.",fallacy of logic,Clarity Fallacy,would done homework refrigerator stopped working
"I ate Oreos, and then I was sick the next day. It must have been the Oreos that caused my sickness.",false causality,Presumption Fallacy,ate oreo sick next day must oreo caused sickness
"Cari says that we need a major overhaul in education. Cari gets a speeding ticket every other week, so maybe she should learn how to drive instead of worrying about schools.",ad hominem,Relevance Fallacy,cari say need major overhaul education cari get speeding ticket every week maybe learn drive instead worrying school
"""I drank bottled water and now I am sick, so the water must have made me sick.""

What logical fallacy is used in the statement above?",false causality,Presumption Fallacy,drank bottled water sick water must made sick logical fallacy used statement
Why doesn't Tim get a real job like normal people instead of trying to launch that Internet business from home?,fallacy of credibility,Relevance Fallacy,doesnt tim get real job like normal people instead trying launch internet business home
"Every time I go to sleep, the sun goes down.  Therefore, my going to sleep causes the sun to set.",false causality,Presumption Fallacy,every time go sleep sun go therefore going sleep cause sun set
"""It rained and then we lost the game. Every time it rains, we're going to lose.""",false causality,Presumption Fallacy,rained lost game every time rain going lose
Sandra is an angel from heaven. She gave me a free lunch today.,fallacy of logic,Clarity Fallacy,sandra angel heaven gave free lunch today
This guy in my class with glasses always talks in class so all guys with glasses are talkative.,faulty generalization,Presumption Fallacy,guy class glass always talk class guy glass talkative
“Harold’s new book is well-written because Harold is a wonderful writer.”,circular reasoning,Presumption Fallacy,harolds new book wellwritten harold wonderful writer
"""You should never break traffic laws.""
""Who are you to speak? You've gotten over fifteen speeding tickets!"" What is this?",ad hominem,Relevance Fallacy,never break traffic law speak youve gotten fifteen speeding ticket
We shouldn't let teenagers keep their phones just because they're upset at losing them; most babies cry when you take their toys away too.,fallacy of logic,Clarity Fallacy,shouldnt let teenager keep phone theyre upset losing baby cry take toy away
"Ted: Biological evolution is both a theory and a fact.
Edwin: That is ridiculous!  How can you possibly be absolutely certain that we evolved from pond scum!
Ted: Actually, that is a gross misrepresentation of my assertion.  I never claimed we evolved from pond scum.  Unlike math and logic, science is based on empirical evidence and, therefore, a scientific fact is something that is confirmed to such a degree that it would be perverse to withhold provisional consent.  The empirical evidence for the fact that biological evolution does occur falls into this category.
",fallacy of extension,Clarity Fallacy,ted biological evolution theory fact edwin ridiculous possibly absolutely certain evolved pond scum ted actually gross misrepresentation assertion never claimed evolved pond scum unlike math logic science based empirical evidence therefore scientific fact something confirmed degree would perverse withhold provisional consent empirical evidence fact biological evolution occur fall category
There was a fight at school today. Violence is a growing problem in school.,faulty generalization,Presumption Fallacy,fight school today violence growing problem school
"You think labor unions are good? You know who else liked labor unions? Karl Marx, that’s who.",ad hominem,Relevance Fallacy,think labor union good know else liked labor union karl marx thats
"It is possible aliens built the pyramids. Therefore, aliens built the pyramids.",fallacy of logic,Clarity Fallacy,possible alien built pyramid therefore alien built pyramid
The picture on Jim's old TV set goes out of focus. Jim goes over and strikes the TV soundly on the side and the picture goes back into focus. Jim tells his friend that hitting the TV fixed it.,false causality,Presumption Fallacy,picture jims old tv set go focus jim go strike tv soundly side picture go back focus jim tell friend hitting tv fixed
This coin has landed heads-up nine times in a row. So it will probably land tails-up next time it is tossed.,false causality,Presumption Fallacy,coin landed headsup nine time row probably land tailsup next time tossed
argues that a proposition is true because it has not yet been proven false,intentional,Clarity Fallacy,argues proposition true yet proven false
I guess I should buy my 14 year old a new iPhone since everyone at her school has one.,ad populum,Relevance Fallacy,guess buy year old new iphone since everyone school one
"Siblings Dan and Joe had a serious argument, and Dan told Joe that he hated him and wished that he would get hit by a car. Two days later, Dan was told that Joe had been struck by a car. Dan blamed himself and thought that if he hadn’t made the comment during their fight, Joe would not have been hit.",false causality,Presumption Fallacy,sibling dan joe serious argument dan told joe hated wished would get hit car two day later dan told joe struck car dan blamed thought hadnt made comment fight joe would hit
Photo shows flying saucer,fallacy of logic,Clarity Fallacy,photo show flying saucer
Students are poor writers because they watch too much TV,false causality,Presumption Fallacy,student poor writer watch much tv
"If we let your brother stay, we’ll have to let your whole family stay.",faulty generalization,Presumption Fallacy,let brother stay well let whole family stay
Justifies a claim because a large group favors it,ad populum,Relevance Fallacy,justifies claim large group favor
Which type of logical fallacy is used when a writer incorrectly states that one event has caused another?,false causality,Presumption Fallacy,type logical fallacy used writer incorrectly state one event caused another
